Name,Description,Location,Brand,PartNumber,Supplier,PurchasedDate,Notes,AvailableQuantity,RentedQuantity,IsCheckedOut
?,Universial Transmission Dipstick,A6,?,?,?,,,1,0,0
?,Ear stethoscope,A6,?,?,?,,doctors listening noises noise listen hearing,1,0,0
T1,VANOS Camshaft Locking Plates,C3,T&E Tools,B1021,T&E Tools,,M62 m60 4.4L,1,0,0
T10,BMW Timing Kit,D2,Endeavour,ETN62N73,All Euro,,N62 | N73 3.6L | 4.0L | 4.4L | 4.8L V8 engine V12,1,0,0
T11,Engine Timing Tool,C2,?,CP101825,?,,M40 M42 M50 M60 M62 M70 M62TU v8 bmw,1,0,0
T12,Valve Spring Pliers,A5,HCB,HCB-H1188,All Euro,,N20/N51/N52/N52K/N52T/N55 bmw remover installer install compressor INTERMEDIATE VALVETRONIC LEVER TOOL et1188h,1,0,0
T120,BMW Mini Timing Tool,B5,JTC,JTC-4915,All Euro,,n12 n14  BMW MINI COOPER 1.4 1.6 16V,1,0,0
T121,TIMING TOOL SET FOR BMW (N13 N18),C3,JTC,JTC-4281,All Euro,,BMW N13 N18 engine dismantle and assemble intake and exhaust,1,0,0
T122,Toledo Timing Tool Kit - MINI,C4,TOLEDO,304703,Repco,,w10 w11 r50 r53,1,0,0
T123,Engine Timing Tool Set,B4,AST,AST5020,T&E Tools,,n12 n14 n16 r55 r60 r58 r56 r57 r61 r59,1,0,0
T13,Fuel Injector Removal/Installer,D4,HCB,H.C.B-A1605,All Euro,,N20/N47/N54/N55/N57/N63 bmw engine,1,0,0
T14,Ball Joint Puller,D5,HCB,H.C.B-B1294,All Euro,,BMW BALL JOINT PULLER (24 mm &27mm & 31 mm & 36mm) splitter split Cone splitting tool with four forks,1,0,0
T142,Pneumatic Air Portable Pressure Brake,Oil Room,?,?,All Euro,,fluid Clutch Bleeder Bleeding Kit Adaptors,1,0,0
T15,DIESEL ENGINE TIMING TOOL,D4,HCB,H.C.B-C1421,All Euro,,BMW (2.0 N47/ 3.0 N57),1,0,0
T150,Fuel Gauge Assortments,C2,?,FUELGAUGE,Repco,,FUEL,1,0,0
T151,Coolant Pressure Tester,D1,HCB,H.C.B-A2150,Repco,,UNIVERSAL RADIATOR PRESSURE TESTER KIT cooling system,3,0,0
T152,Camshaft pulley Puller,C3,JTC,JTC-4647,Repco,,Camshaft puller pulley wheel audi vw,1,0,0
T153,FLOW METER COMMON RAIL SET,E4,JTC,JTC-4776,All Euro,,Common Rail diesel injector bleed off tester test uni,1,0,0
T154,Toledo Snap Ring Plier Set,C5,TOLEDO,301939,Repco,,OTHER clamp circlip,1,0,0
T155,Oil Drain Repair Set,D5,Repco,RRT1061G,Repco,,ENGINE universial bmw mini audi vw skoda mercedes alloy sump,1,0,0
T156,Clyinder Leakage Tester,C3,T&E Tools,?,Sulco,,Leak compression engine,1,0,0
T157,Spring Compressor Tool - Universal,C1,T&E Tools,4115,Sulco,,ENGINE remove and install valve springs with the cylinder head,1,0,0
T158,Brake Pipe Double Flaring Tool,B4,T&E Tools,7204,Sulco,,BRAKES,1,0,0
T159,Wheel Bearing Puller,C2,?,?,Repco,,WHEELS,1,0,0
T16,Pulley Holder Tool,A4,HCB,HCB-A1331,All Euro,,engine M60 / M62 V8 HOLD CRANKSHAFT AND REMOVE CENTRAL BOLT,1,0,0
T160,Assorted Puller Tools,E3,HCB,H.C.B-A1038,All Euro,,BMW (E30/E36/E46) BUSH EXTRACTOR/ INSTALLER,1,0,0
T161,Oil Pressure Tester,E5,?,?,?,,gauge,1,0,0
T163,Radio Removal Tool Kit,B5,Repco,RTT3500-46A,Repco,,OTHER vw audi bmw skoda mercedes,1,0,0
T164,Belt Fitting Tool,B3,Gates,SFT001,Repco,,ENGINE Stretch Fit Belt pulley BMW,1,0,0
T165,Laser Heat Gun,B3,RayTek,ITC45,?,,?,1,0,0
T167,Random Puller Asortments,E3,?,?,?,,,1,0,0
T168,Smoke Tester Attachments,A6,Smoke Pro,95-0003C,Repco,,OTHER,1,0,0
T169,Hole Saw Kit,B1,Journeyman's,9596,Repco,,OTHER,1,0,0
T17,Engine Timing Tool Set,E5,HCB,H.C.B-B1262,All Euro,,BMW (M41/M51/M47TU/M47T2/M57TU/M57T2) DIESEL TIMING TOOL SET,1,0,0
T170,Mightyvac Vacuum tester,E4,T&E Tools,7059,Sulco,,vac gauge,1,0,0
T171,Lock nut set - Misc,B1,?,?,?,,WHEELS,1,0,0
T172,Lock nut set - BMW,B1,?,?,?,,WHEELS,1,0,0
T173,Lock nut set - Misc,B1,?,?,?,,WHEELS,1,0,0
T174,Lock nut set - Misc,B1,?,?,?,,WHEELS,1,0,0
T175,Lock nut set - Misc,B1,?,?,?,,WHEELS,1,0,0
T177,Brake Piston Push Back Tool,E4,Pro-Max,?,Repco,,BRAKES,1,0,0
T179,Injector Pump / Shaft Cleaning Set,D5,Endeavour,ET1201,All Euro,,ENGINE Removes carbon deposits which is important when replacing injectors fuel injector shaft  injector pump cleaning,1,0,0
T18,Engine Timing Tool Set,D3,HCB,H.C.B-I1188,All Euro,,BMW (N51/N52/N52K/N53/N54/N55) TIMING TOOLS,1,0,0
T180,"3/4"" T70 T80 T90 T100 Torx-r Impact Sockets",B4,T&E Tools,98804,Sulco,,OTHER T70 T80 T90 T100 Torx-r Impact Sockets,1,0,0
T181,Strut Nut Remover Tool,B1,Endeavour,ET6498,All Euro,,SUSPENSION vw mercedes strut groove,1,0,0
T182,Piston Ring Service Set 9pc,E5,T&E Tools,CL337,T&E Tools,,ENGINE piston ring compressor groove cleaner expander,1,0,0
T183,Oil Filter Cap Removal Tools,E5,Repco,OILFILTERTOOL,Repco,,ENGINE,1,0,0
T184,Metric Stud Extraction Tool,B3,Repco,FD-404M,Repco,,OTHER  Puller undo remover,1,0,0
T185,Dremal,D4,Ozito,?,Bunnings,,OTHER cuting cut grind grinding,1,0,0
T186,Cam Locking Tool - Universal,B1,T&E Tools,6266,Sulco,,ENGINE timing camshaft,1,0,0
T187,Grinder - Cable Type,A2,DeWalt,DWE4151-XE,Bunnings,,lead shield yellow,1,0,0
T188,Air Powered Body Saw,B3,Repco,WFB-1600,?,,OTHER,1,0,0
T189,Slide Hammer - Old Blue,A2,T&E Tools,?,?,,OTHER,1,0,0
T19,Rear Diff Bush Removal/Installer,D3,HCB,H.C.B-B1568,All Euro,,BMW (F01/F02/F04/F06/F07/F10-F13/F18)DIFFERENTIAL REAR BUSH REMOVAL / INSTALLATION TOOL KIT,1,0,0
T190,Trailer Light Boad,A1,Navra,Homemade,Repco,,TRAILER led,1,0,0
T191,Heat Gun 2000w,A2,Mech Pro,MPCPTHG,Repco,,OTHER hot hair dryer,1,0,0
T192,Brake Pressure Tester Atachments,D3,?,?,?,,adapter adapters,1,0,0
T193,Timing Light,A3,OPTILUX,?,Napa,,ENGINE,1,0,0
T194,A/C Gas Leak Detector,B5,MASTERCOOL,55800,All Euro,,AIRCON ac,1,0,0
T195,Tourqe Wrench - 2-24 Nm,B2,Mech Pro,MPBW115,Repco,,OTHER mini small,1,0,0
T196,Autel MaxiVideo Camera,C5,Autel,MV400,Petrojet,,CAMERA bore scope,1,0,0
T197,Diesel Injector Seat Cutter Kit,C4,Endeavour,ET2210,All Euro,,ENGINE,1,0,0
T198,Straight Edge,B3,T&E Tools,6474,Sulco,,OTHER,1,0,0
T199,Transmission Filler kit,C3,Endeavour,ET4090-ADAP,All Euro,,set kit trans adapter adapters,1,0,0
T2,Camshaft Alignment Tool,E4,JTC,JTC-4619A,JTC,,TIMING engine timing n52 n51 n53 n54,1,0,0
T20,Wheel Lock Removal Kit,C1,Endeavour,ET6064,All Euro,,OTHER BMW slide hammer locknut,1,0,0
T200,O2 Sensor/Switch Sockets,B4,T&E Tools,J4298,T&E Tools,,OTHER remover installer install,1,0,0
T201,Compression Tester - Universal,B4,Repco,RST179,Repco,,ENGINE,1,0,0
T202,Ball Joint Remover/Installer,E5,HCB,H.C.B-E1168,All Euro,,Mercedes-Benz BALL-JOINT REMOVER/ INSTALLER W163/W164/W211/W220/W230,1,0,0
T203,Diesel Compression Tester,C1,Repco,?,Repco,,ENGINE,1,0,0
T204,Fuel Tank Lid Remover 60-195mm 2 Way,B2,T&E Tools,B2111,Sulco,,OTHER Fuel Tank Pump Nut Removal Tool,1,0,0
T205,Dial Indicator,B2,Wayco,?,Repco,,ENGINE DTI TOP DEAD CENTRE,1,0,0
T21,Axle Shaft Removal Kit,D2,HCB,H.C.B-D1253,All Euro,,BMW OUTPUT SHAFT EXTRACTOR/ INSTALLER KIT drive shaft half shaft,1,0,0
T22,Trans Mount Removal/Installer,E3,JTC,JTC-4221,All Euro,,DRIVETRAIN  E83 E53 E70 E71,1,0,0
T265,Engine Timing Tool Set,D2,HCB,H.C.B-A1517,All Euro,,BMW(N20/N26)TIMING TOOLS SET,1,0,0
T266,Depth Gauge,B2,Insize,DEPTHGAUGE,All Euro,,OTHER measure measuring vw dsg,1,0,0
T267,TIMING CHAINS RIVETING TOOL,C4,HCB,H.C.B-D1293,All Euro,,Mercedes-Benz TIMING CHAINS RIVETING TOOL KIT-SINGLE ROW AND DOUBLE ROW,1,0,0
T268,UNIVERSAL HUB PULLER SET,E1,HCB,H.C.B-D1095,All Euro,,Slide Hammer Kit 10KG BENZ BMW AUDI VW,1,0,0
T269,Service Jack (Porta-Power) 4 Ton,E3,HCB,PORTAPOWER,ToolShed,,Hydraulic,1,0,0
T270,Engine Timing Tool Set,C3,FRANKLIN,AT4118,Repco,,TIMING n40 n45 n45t b16 b16ac bmw,1,0,0
T3,Camshaft Carrier kit,D1,HCB,H.C.B-C1156,All Euro,,BMW (N42/N46/N46T) CAMSHAFT CARRIER BRACKET REMOVAL / INSTALLTION TOOL KIT,1,0,0
T30,VAG 1.8/2.0 TSI/TFSI (EA888) ENGINE TIMING TOOL KIT,D4,HCB,H.C.B-D1506,All Euro,,VAG 1.8/2.0 TSI/TFSI (EA888) BYT  BZB  CABA  CABB  CABD  CADA  CAEA  CAEB  CAWA,1,0,0
T301,Engine Timing Tool Set,D5,AST,AST4800,All Euro,,TIMING n46 n42 bmw,1,0,0
T302,Dremel - Battery Operated,C5,Dremel,8220,Bunnings,,OTHER,1,0,0
T303,Coolant Vacuum Bleeder,C4,T&E Tools,12276,Sulco,,bleed antifreeze,1,0,0
T306,Cylinder Head Bolt Socket Set,B4,AST,AST6005,All Euro,,ENGINE long reach m14 m12 m10 e12 tx60 bmw audi ve skoda mercedes,1,0,0
T31,Engine Timing DTI Tube,C3,JTC,JTC-4768A,All Euro,,TIMING 1.6fsi 1.4fsi 1.4 1.6 audi vw skoda vag gauge top dead centre center,1,0,0
T32,AUDI CAMSHAFT ADJUSTMENT GAUGE SET (3.0L  V6  PETROL ENGINE),D4,HCB,H.C.B-B1235,All Euro,,ASB  AVK  BBJ engine,1,0,0
T33,VW  AUDI (A4/A6/A8/A11) GAS / DIESEL ENGINE TIMING TOOL KIT,C1,HCB,H.C.B-A2201,All Euro,,TIMING AUDI A4  A6  A8  A11 engine GAS / DIESEL ENGINE TIMING TOOL KIT,1,0,0
T34,VW /AUDI (2.4 / 3.0 / 3.2 / 4.2 / 5.0 /5.2) CAMSHAFT TIMING TOOL SET,D3,HCB,H.C.B-A1522,All Euro,,TIMING,1,0,0
T4,Rear Susp Bush Extractor/Installer,D3,HCB,H.C.B-A1153,All Euro,,SUSPENSION BMW 4e6 e85 rear suspension tool,1,0,0
T400,Pilot Bearing Puller,A3,Repco,RST175,Repco,,spigot bush,1,0,0
T401,#1Mini cooper serpentine belt tool kit,A5,JTC,JTC-4804,All Euro,,w11 bmw,1,0,0
T402,#2 Mini cooper serpentine belt tool kit,A5,JTC,JTC-4803,All Euro,,r50 r53,1,0,0
T404,VAG Injection Pump / Timing Kit 2.7L | 3.0L | 4.2L - V6 | V8 Diesel,A1,Endeavour,ET1622,All Euro,,,1,0,0
T405,Straight Edge - Silver Flat Ruller,B3,?,?,?,,A4 | A5 | A6 | A8 | Q7 | Allroad vw audi,1,0,0
T465,LuK Mounting Tool Set clutch / flywheel,A1,,400053710,All Euro,7/05/2023 12:00:00 am,Transmission with single plate SAC axial and radial support hand grip for installation and removal of module audi clutch flywheel tool,1,0,0
T5,Engine Timing Tool Set,B5,HCB,H.C.B-A1121,All Euro,,TIMING m52tu m54 m56 bmw doubble vanos,1,0,0
T500,Lost and Found,E1,?,?,?,,missing parts kit from,1,0,0
T6,Bush removal/Install Tool,B4,HCB,H.C.B-A1070,All Euro,,bmw SUSPENSION e34 e38 e39 e52 e53 e60 e61 e63 e66 e65 e67 e70 Rear Carrier Bush / Ball Joint Tool,2,0,0
T60,Engine Timing Tool Set,C5,AST,AST5145,T&E Tools,,TIMING 1.0 1.2 1.4 tfsi Engine Setting / Locking Kit belt cambelt  tsi,1,0,0
T61,Diesel Engine Timing Tool - VW,D4,JTC,JTC-4931,All Euro,,ENGINE vw timing BAC BLK BPD AXD AXE BLJ BPC and AYH vw audi,1,0,0
T62,Airbag Removal Tool Set,C3,Repco,RTT1017,Repco,,AIRBAG uni universial remove,1,0,0
T63,Rear Main Seal Installer,B4,Endeavour,ET1514A,All Euro,,ENGINE oil install  EA111 EA211 petrol VAG 1.6 1.9 2.0 TDI vw audi,1,0,0
T64,Cam Alignment Tool,B2,HCB,HCB-A1164,All Euro,,ENGINE 1.4 16v  Twin Camshaft Alignment Tool vw audi skoda,1,0,0
T65,Injector Chamber Seal Tool,D5,Endeavour,ET0017A,All Euro,,ENGINE injector puller kit cleaner cleaning vw audi fuel,1,0,0
T66,VAG Brake Servo Release Kit,A5,Endeavour,ET0704,All Euro,,BRAKES vw audi skoda,1,0,0
T76,Soldering Iron,C4,Weller,8100D,?,,solder heat,1,0,0
T8,Valve Spring Tool - Univeral,D3,HCB,E1376B,All Euro,,Valvetronic Tool - Intermediate Lever Spring Tool ASSENMACHER TOOLS ENGINE N52 N55 BMW,1,0,0
T81,Press Bearing Bush Removal Kit,By Press,Endeavour,ET3976,All Euro,,press tool sleave Universal,1,0,0
T9,Valve Stem Seal Kit,D1,Endeavour,ET0095,All Euro,,ENGINE n62 n62tu bmw removal remover install,1,0,0
